,profile_url,member_since,earnings_pst_yr,earnings_ever,employers,invoices_paid,largest_employ,bio
0,/freelancers/scopic," Jul, 2003"," $1,287,220 ","$5,924,338 ",378 ,"10,459 "," $469,552 ","Scopic is a U.S. based company specializing in the creation of custom IT solutions for web, mobile, and desktop. We offer visually engaging and user-centric interactive solutions tailored to your business needs. At Scopic, we unify software development with digital marketing to transform the traditional into industry-changing solutions. We combine creative digital marketing with tailor-made software development and unique web design, to become the one-stop-shop for industry innovation.

• 1,000+ projects delivered
• 14+ years of experience transforming ideas into reality
• 280+ highly talented developers, designers, and marketers from around the world.

Your digital originality. Crafted, coded and spread with passion. At Scopic our core services include: 

• Advanced Manufacturing Application Development
• FDA Compliant Scientific and Medical App Development
• Audio/Video App Development
• Financial App Development
• Communication and Collaboration App Development
• Crypto Currencies and Blockchain Development Services
• Machine Learning Solutions
• Conversational AI and Intelligent Assistance
• E-commerce Software Development
• SaaS Development

Our highly skilled coders have experience with over 50 types of technologies including:

•	Desktop: C++/Qt, .Net, Java, Ruby
•	Web: React, Angular, Node.js, PHP/Laravel/Yii/Magento, .Net, Java, AWS Serverless Computing
•	Mobile: React Native, Ionic, Xamarin
•	Databases: SQL (MySQL, PostgreSQL, MS SQL and NoSQL),MongoDB, Dynamo, Firebase
•	System and Software Architecture: Micro-services Architecture, Multi-tenant Architectures, Multi-tier Architecture
•	DevOps: AWS, Google Cloud, CI/CD, Containers - Docker/Kubernetes
•	Advanced Software Solutions: 3D/2D Graphics, Image Processing, AR/VR, Computer Vision, 3D Algorithmic (OpenCV, CUDA, Vuforia/Google VR/ARKit, Three.js, WebAssembly)

Innovation starts with a powerful vision. Let’s work together to breathe life into your digital ideas."
1,/freelancers/top-guru-assistants," Jul, 2017"," $272,232 ","$645,131 ",248 ,854 ," $58,760 ","Top Guru Assistants is a team of 100+ professionals, experts in their skills, collaborating together with a common vision and unity to build long-term business relationships by helping its clients leverage technology to scale their business to the next level. 

Who We Are:

- Physical presence in the US, India, Canada, Singapore, Malaysia, UAE
- ISO certified
- Microsoft Partner
- Developer program registered with Apple and Google
- Fastest Growing team of freelancers

Few Facts About Us:

- I Million+ lines of code written
- 100+ Client Appreciation emails
- 3 years and counting
- 100+ projects delivered
- Verifiable Client References

Services offered:

- Website and Web application development
- Mobile Application development
- Enterprise Services
- Startup Services

Engagement Models:
- Offshore
- Onsite (US only)
- Hybrid - Mix of Onsite and offshore

Our Process:

1. Presales and Sales
Requirement Gathering, Feasability Analysis, Competitor Analysis, Proposal Submission, Project Kick off.

2. Project Planning
Project Scope Analysis, SRS, FRS, Project Plan, Resource Allocation

3. Project Execution
Design and Modelling, Development and Documentation, Testing and Quality Assurance, UAT and Go Live

4. Maintainance
Maintainance and Support

Industries We Serve:

- Real Estate
- Healthcare
- eCommerce
- Social Networking
- Travel and Hospitality
- Media and Entertainment
- Education and eLearning
- Many more

Technology Expertise:

1. Mobile

Android (Phone, Tablet, Android TV)
iOS / Apple (iPhone, iPad, Apple TV)
PhoneGap
Swift
React Native
Xamarin

2. Open Source

Codeignitor
CMS
Magento
BigCommerce
Cake PHP
OS Commerce
Drupal
Laravel
Joomla
Zend
shopify
Moodle
Opencart
wooCommerce
WordPress

3. Microsoft Technologies

SharePoint
ASP.NET
C#
SQL Server
MVC
Salesforce"
2,/freelancers/eden-programming-solutions," Oct, 2017"," $256,760 ","$421,240 ",18 ,192 ," $229,290 ","Our team has many software developers and designers with high level of skills and experience.

There are
- 20+ mobile app developers
- 30+ web developers
- 15+ UI/UX designers"
3,/freelancers/avion-technology-inc-chicago," Jul, 2005"," $151,893 ","$1,717,807 ",564 ,"2,886 "," $94,980 ","A Chicago-based company provides web design, web development and mobile application development services ranging from simple e-commerce solutions to mobile apps, complex web and desktop applications for every kind of business need for all industries. Avion prides itself on being an organization dedicated to delivering state-of-the-art technology to its clients. Our exceptional commitment to delivering value to our clients separates us from our peers. We have on board talented professionals including project managers, analysts, developers, designers, ably supported by an efficient support staff backed by a management which has a techno-centric vision enabling us to stay ahead of the internet curve.
Avion Technology's Unique Selling Propositions are: 
1) A well organized project management by using Basecamp as a project management tool.
2) Attention to detail 
3) A client centric development approach i.e. making sure we help client achieve his/her objectives 
4) Emphasis on the design phase of the project 
5) Thorough Quality Assurance testing"
4,/freelancers/openwork-tech," Nov, 2019"," $138,065 ","$138,065 ",5 ,29 ," $116,730 ",NA
5,/freelancers/j-consulting," Jan, 2006"," $137,495 ","$628,008 ",89 ,396 ," $244,559 ","Experienced solutions developer with Masters Degree in Computer Science and broad programming and object oriented analysis design experience in Linux/UNIX, Windows, MS-DOS environment. Full life cycle experience, involved in requirement analysis, design, development, testing, deployment and support. Proven success in meeting high level functional requirements and delivering on time. Excellent programming skills and over 17 years of experience with JAVA, J2EE, Spring, Hibernate, Struts, Ant, ASP.NET MVC, C#, XML, XSL, JDBC, C++, PHP, Phalcon, Code Igniter, SalesForce, SOQL, Apex, OCR Technologies, Dicom, SQL, Angular, React, Bootstrap, Big Data Loading and Analysis, APIs (developing and connecting to them - RESTful and SOAP), RDBMS and server side software. Sound experience in developing and deploying applications using JBoss, Apache Tomcat Server, Apache Web Server, IIS.  
Excellent interpersonal skills and Technical skills. Results oriented."
6,/freelancers/smart-software-solutions-inc-482125," Apr, 2005"," $109,548 ","$8,049,953 ",58 ,"3,885 "," $2,419,454 ","Smart Software Solutions is a professional custom software development company specializing in the development and hosting of web-based information systems, dynamic websites and custom applications.

Are We Right For You?

If you’re an ISV, SaaS provider, or a company where software development quality and speed matter for your success in the marketplace, Smart Software Solutions has been a software development augmentation firm since 2004. We’ve handled sensitive, commercial-grade projects from scratch or in-progress for some of the leading companies and developers across the country, as well as State and Federal government clients. 

Our approach is clean and economical and allows our team to enter and exit your development process seamlessly, with no disruption. 

This allows Smart Software Solutions to support and supplement your team at any level you need, from rapid development of an individual module or longer-term outsourcing of maintenance and enhancements of a full-scale project. 

* Each of our programmers have earned a degree in Computer Science or a S.T.E.M. discipline. We walk the walk!

* We are located in the U.S. in the Central and Pacific Time Zones. We're working when you are.

* We speak English as our first language, eliminating costly mistakes due to language barriers.

Ready for a team of highly educated and experienced programmers to work on your project? Contact us."
7,/freelancers/grata-tech-solutions," Jul, 2019"," $92,585 ","$97,535 ",3 ,36 ," $89,945 ","Our team has helped create successful start-ups and solved complex problems for more established mature organisations by building mobile and web applications.

We are developers. We do not like bureaucracy and we do not play politics. We simply do our job and do it well, as our clients all testify. Each product we build we consider as our own.

We focus on Artificial Intellignece advisory, machine learning / deep learning, Augmented Reality, Virtual Reality, Intellectual data visualization, etc. We are passionate about cutting edge technology and believe in using technology to drive innovation, creativity, profitability, and productivity. 

We provide both technical and product expertise for our clients."
8,/freelancers/beksconsulting," Dec, 2004"," $85,000 ","$1,043,576 ",15 ,560 ," $513,702 ","beksConsulting was founded in 2005 with a vision of providing professional IT services to small companies and individuals seeking top-shelf talent without incurring the ever-rising cost of full-time staff.
 
Since that time, beksConsulting has established a proven track record of fulfilling that vision through successful project delivery and long-term client retention."
9,/freelancers/stephenwhite," Nov, 2002"," $78,165 ","$849,240 ",28 ,371 ," $357,443 ","* Over 15 years of professional programming experience.
* Experience in: C#, ASP.Net, VB.Net, C++, VB6, SQL Server, Access, Excel, Assembly, Java, and many others.
* B.S. degrees in Physics and Mathematics from the University of Washington (Seattle).
* Worked at Microsoft and Boeing for a number of years before becoming an Independent Contractor.
* Have worked on various business apps that had backend database, workflow features, reports, and various other functionality.
* Have worked on various scientific apps that performed complex analysis and often interfaced with a proprietary instrument.
* Have worked on various websites, some of which were very complex and ran an entire company.
* Have worked on various other applications and have taken many projects through full production cycle.

* Here is a list of most of the programs I have worked on, with approximately half written by me alone: backup programs, banner printing program, optical data transmission program, Windows drivers, multi disc CD player program, handwriting word processor program, voice recorder program, inventory programs, financial data mining programs, automated bill collection program, workflow programs, chemical analysis program, environmental sensor programs, Windows service programs, biotech programs, yoga deep breathing program, barcode printing programs, scanner gun program, warehouse packing program, blog apps, various website programs (medical, real estate, workflow, company operations, etc.), wireless electrical/water meter programs, container ship programs, sawmill automation program, oil well drilling program, stock market programs, return on investment program, CAD drawing program, and mobile apps."
10,/freelancers/all-star-programmers," Jul, 2019"," $69,645 ","$69,645 ",2 ,29 ," $42,735 ","We provide individual developers with required skills for each job.
We can negotiate the rate for long term projects.

We can work on any timezone for full time.
We can provide 24/7 support and can suggest the developer or designer at any time.
We can work via Github, Bitbucket, Jira, Trello, Asana...etc"
11,/freelancers/sakthiguru," Jan, 2015"," $68,295 ","$281,035 ",45 ,343 ," $144,740 ","I live in Cary, NC, United States. I have 12+ years of IT/Software development and deployment experience. I have expertise in Salesforce Customization, API Integrations, Web Development ( HTML5, CSS3, XML, Javascript, JQuery, JSON, XML, Ajax, PHP, SOAP, REST API, Wordpress, MySQL) and Web Designing with Photoshop. 

I have worked on the below API Integrations. 
JET , Amazon, eBay, Edmunds, eCount, VisionLink, RollBase, DEAR, SIXWORKS, DOBA, SALESFORCE, LendingQB, USPS, ABFS, XPO Logistics, TRANSPACT, Stripe, NETWORKFORGOOD, Intuit,  PAYPAL, TicketUtils, FreshDesk, BayWeb, Sitelink, SeniorSoulMates, Four51,  Swift Trans, Google Maps (GeoCode), AWeber, DocuEngine, HHAExchange, TSheets, Concur, EpiCor & WUnderground.

I  would like to build a strong working relationship with you, so we will be able to work together in many projects for many years in the future.  I will assure you that I will support you in delivering your ongoing projects in a state which will exceed your expectations. 
              Please reach out to me at sakthi@sakthi.io  for further questions, if you would like me to be a part in leading your project to success. 
              
Please visit www.sakthi.io to see some of my portfolios.
I can be reached on skype at : sakthi@sakthi.io
Phone # 919-342-6979 / 919-342-5262"
12,/freelancers/illusion-software-development," Jul, 2017"," $66,800 ","$424,411 ",7 ,283 ," $292,110 ","This is just the online group of individual US based developers with senior level of experience.

20+ web developers
30+ mobile developers
10+ UI/UX designers"
13,/freelancers/robert-prislupsky," Dec, 2019"," $56,498 ","$56,498 ",1 ,27 ," $56,498 ","Communication:
We will be able to work on any time zone for full time.
We will be available 24/7 support and can suggest good ideas at any time.
For project management we can work via Github, Bitbucket, Jira, Trello, Asana and so on.

Availability:
We're generally available 9 am - 5 pm EST 7 days a week. We're open to both full-time and part-time position.

Payment:
We can negotiate my rate for long term projects.
We normally take payment after the project is completed. If the project is big then a milestone arrangement can be agreed upon. Depending on the project we might also request that Guru Safe pay Escrow be used."
14,/freelancers/mv-squared," Nov, 2016"," $52,260 ","$183,568 ",12 ,232 ," $147,040 ",MV-SQUARED LLC
15,/freelancers/jalacrity," Sep, 2012"," $51,943 ","$80,745 ",7 ,299 ," $32,367 ","I have experience working on large & small scale projects in different areas of business such as healthcare, finance, gaming, auction, e commerce etc.
Having a wide experience programming and working in other fields allows me to quickly understand requirements and translate them into working systems.
Although Graphic Design is my true passion, I have also designed and redesigned websites for many, many customers over the years.

I also work as an application developer, database developer, project manager while designing a fully responsive tablets and mobile supported site with cross-browser compatibility."
16,/freelancers/marco-samson," Sep, 2017"," $46,415 ","$189,033 ",9 ,145 ," $126,168 ","INNOVATIVE, CREATIVE, AND SELF-MOTIVATED FULL-STACK SOFTWARE ENGINEERS OVER 12 YEARS. CAN CONTRIBUTE EQUALLY IN THE AREAS OF WEB/MOBILE/DESKTOP & Crypto, Data Science, AI, MACHINE LEARNING(ML) SOFTWARE DEVELOPMENT, TECHNOLOGY, INFRASTRUCTURE, AND INTEGRATION AS WELL AS BUILDING FROM SCRATCH OR AT SCALE.

Currently, we have grouped with three senior software developers, and we can work individually under the client's requirement.

TECHNICAL KNOWLEDGE & SKILL & EXPERIENCE WE ARE PROVIDING:

Operating Systems and Cloud Environments:
- Windows, Linux, macOS, Amazon AWS, Microsoft Azure, OpenStack
- Amazon: EC2, BeanStalk, Lambda, S3, EBS, EFS, Aurora, RDS, Redshift, DynamoDB, ElastiCache, CloudFront, Route 53, ELB, VPC, CodeStar, CodeCommit, CodePipeline, Cloud9, CodeBuild, Amazon ML, MobileHub, Connect, SES, Alexa, Chime, Workspaces, App stream
- Microsoft: VM, SQL, Cosmos, ML, DevOps, AzureAD, Exchange, Office 365, Backup, Visual Studio, Visual Studio Team Services

Languages:
- Visual Studio, C#, .NET, .NET Core, JavaScript, Java, PHP/Laravel, Python, Perl, Ruby on Rails
- QT, C/C++, Java, Perl, R, Go/Golang

Web framework and Libraries:
- React.js/Redux, AngularJS, Vue.js, Node.js

Mobile Platforms:
- Google Android(Java/Kotlin) & Apple iOS: Swift, React Native, Ionic.

Databases:
- Microsoft SQL, MySQL, Aurora, DynamoDB, MongoDB

Web API Development:
- Facebook, LinkedIn, Google, Microsoft, Twilio, Amazon, FedEx, UPS, USPS, Visa, MasterCard, American Express, Wells Fargo, Bank of America, Intuit, and Verizon

Shopping Carts:
- WooCommerce, Shopify, NetSuite, Zoho, Magento, OpenCart, Volusion
CMS: WordPress, X Themes, Magento, Shopify, Wix 

I believe our strong points are Creative, Self-learning, and Self-motivational and our #1 goal is to meet the clients' needs by 100%, keep the high-quality of work results, and to adhere to the deadline.

We strive to be a master of all trades and push ourselves beyond our boundaries to learn more every day."
17,/freelancers/nathanial-mckay," Apr, 2018"," $42,010 ","$100,926 ",3 ,56 ," $71,698 ","I provide high-quality software development and consulting to independent software vendors, startups and companies.
A big reason I do freelance work is because, well, I enjoy doing it. But at the same time, one's most valuable asset is their time, and I still need to be compensated for mine. Bottom line is — I will charge, after much consideration, what I feel would be a very fair price for both the client and myself.
My strong technical knowledge has always been a tremendous asset as it increases my communication and organizational skills. I have used these skills to foster strong relationships with my customers allowing them to feel confident in my recommendations of new products and services driving additional revenue to my organization. Those who have supported my projects know that I work tirelessly to resolve hurdles and ensure success."
18,/freelancers/joel-kim-1," Sep, 2017"," $41,130 ","$210,045 ",9 ,128 ," $68,715 ","Education History
Graduated as Bachelor of Engineering (B.Eng.) from University of Basel
(2005 - 2009)

Employment History
- Day Software (2010 - 2012)
- Plexim (2012 - 2014)
- Sysmosoft SA (2015 - 2016)"
19,/freelancers/taplabs," Nov, 2019"," $39,876 ","$39,876 ",6 ,30 ," $15,875 ","TapLabs is a group of people that does one thing - contract software engineering. Once a contract is signed, there's no going back, we only move forward and deliver whatever we promised."
0,/freelancers/ken-b-1083572," Nov, 2010"," $39,600 ","$61,823 ",12 ,65 ," $57,600 ","I began my career as a self-taught programmer but later attended college to attain expertise for both web and desktop environments. I build applications, web pages, and web/database services for my clients in a variety of programming languages.

With now 19+ years of experience in the programming business, I have acquired the skills to operate a wide range of computer languages. I believe that my best attribute is my ability to use a strong analytical sense to troubleshoot and think abstractly. 

I strive to be the go-to guy for technical troubleshooting issues. I yearn for the odd problem that no one can solve, and hope that it requires me to pick up new knowledge to conquer it. 

When I'm not writing code and developing projects for my clients, I enjoy learning new technical skills like playing the electric guitar, new programming concepts, and other helpful skills (I just recently studied locksmithing, for example). 

I have been an avid gamer since receiving my first Atari 2600 console for Christmas when I was only four years old. Away from the computer screen, I also enjoy my newfound hobby of hiking.

A natural born ‘computer geek’, I also like to use my down time taking part in white hat hacking & programming challenges, both for personal knowledge gain and to help build a safer Internet for everyone. 

I also prefer to spend my leisure time away from the keyboard with my beautiful wife and two young daughters."
1,/freelancers/dugale," Aug, 2006"," $38,713 ","$184,788 ",2 ,94 ," $180,148 ",NA
2,/freelancers/jeffrey-r-smoots," Oct, 2018"," $36,515 ","$44,907 ",3 ,94 ," $23,813 ","I've been developing for MS Access and MS SQL Server for over 20 years. I'm a certified Microsoft Office Specialist in MS Access 2016 & MS Excel 2016.

I have experience developing complex Electronic Healthcare Record applications using MS Access as the Front End and MS SQL Server as the Back End. These apps included clinical notes, internal communication via a tasking system, document management (PDF files), and inventory control for durable medical equipment.

I've also created Tool Trackers, Job Estimators, Invoicing/Billing apps and Purchase Order Trackers using MS Access.

I specialize in straightforward, no-nonsense programming. My VBA coding is simple, well documented, and easy to modify. My focus is create applications that do their job quickly and efficiently.

I am US-based, residing just North of Seattle, WA. I look forward to hearing from you and am happy to answer any questions you may have."
